Date,Close,High,Low,Open,Volume
10/22/2015,173.928421,174.1402602,171.0389447,171.9964489,174911700
10/23/2015,175.8349304,176.2077693,174.8096364,175.6146224,144442300
10/26/2015,175.402771,175.7162887,175.0299321,175.6569805,69033000
10/27/2015,175.0639191,175.4028566,174.3775492,174.7249686,77905800
10/28/2015,177.0551758,177.0805954,174.7334268,175.4028328,135906700
10/29/2015,176.953476,177.3263149,176.428119,176.5467484,90525500
10/30/2015,176.1908264,177.470343,176.0298395,177.1483434,131076900
11/2/2015,178.2753296,178.470218,176.3941972,176.5213084,86270800
11/3/2015,178.7922668,179.3515254,177.6907005,177.9194905,95246100
11/4/2015,178.2498779,179.2158636,177.7075704,179.0887654,96224500
11/5/2015,178.0719299,178.7752372,177.1737343,178.3091887,78408700
11/6/2015,177.9787598,178.2160315,176.6399478,177.7245632,110471500
11/9/2015,176.3179321,177.5127078,175.3604152,177.3601769,131008700
11/10/2015,176.7246552,176.7585566,175.563781,175.8349283,75874600
11/11/2015,176.0298767,177.0467021,175.9620866,176.9958628,67846000
11/12/2015,173.5724792,175.4536115,173.5555414,174.979094,121315200
11/13/2015,171.6236115,173.4284853,171.5388835,173.1573379,153577100
11/16/2015,174.233429,174.2927501,171.3185207,171.437163,117645200
11/17/2015,174.1063843,175.4367276,173.6064469,174.5470134,121123700
11/18/2015,176.8687592,177.0128082,174.5470101,174.5893676,121342500
11/19/2015,176.7162018,177.13988,176.4196218,176.7500904,88220500
11/20/2015,177.360199,178.0465557,176.9788911,177.4788284,94011500
11/23/2015,177.1567993,177.9278838,176.6907507,177.4194777,64931200
11/24/2015,177.3940735,177.800801,175.7501999,176.1399767,98874400
11/25/2015,177.3686981,177.7245864,177.1060067,177.5212161,51980100
11/27/2015,177.5720367,177.775407,176.9788897,177.4618763,37317800
11/30/2015,176.8347931,177.8516181,176.7246326,177.7329887,112822700
12/1/2015,178.5210419,178.6396842,177.190699,177.4703282,97858400
12/2/2015,176.699234,178.7922054,176.4450245,178.4702058,108441300
12/3/2015,174.2249908,177.2246275,173.4962637,176.9534801,166224200
12/4/2015,177.6228638,177.9194437,174.2249689,174.2249689,192913900
12/7/2015,176.5467377,177.7160809,175.5722699,177.2924026,102027100
12/8/2015,175.3604279,176.4958825,174.3690223,174.9706511,103372400
12/9/2015,173.9962006,176.8263685,173.0132638,174.7164588,162401500
12/10/2015,174.445282,175.7671561,173.8267153,174.0639741,116128900
12/11/2015,171.0643005,172.9793212,170.7507699,172.3099154,211173300
12/14/2015,171.9286346,172.0557459,169.4289355,171.2253401,182385200
12/15/2015,173.73349,174.6486365,171.903197,173.4538608,154069600
12/16/2015,176.275589,176.5806379,173.5386308,174.868974,197017000
12/17/2015,173.5894775,176.6569044,173.5725268,176.5891143,173092500
12/18/2015,170.4969788,172.9774518,170.3350207,172.8410778,251393500
12/21/2015,171.9033813,172.0823909,170.5565888,171.6817622,99094300
12/22/2015,173.4633179,173.7616629,171.8011413,172.7984472,111026200
12/23/2015,175.6113739,175.6539965,174.3839164,174.4776808,110987200
12/24/2015,175.3215485,175.875616,175.0999292,175.3556517,48539600
12/28/2015,174.9208984,174.963508,173.8383475,174.6225534,65899900
12/29/2015,176.7876587,177.120094,175.9949334,176.0290236,92640700
12/30/2015,175.5345917,176.6256748,175.3896853,176.5404297,63317700
12/31/2015,173.778656,175.5005064,173.778656,174.8526875,114877900
1/4/2016,171.3493805,171.3578998,169.2780426,170.8976097,222353500
1/5/2016,171.6391449,172.0994349,170.5225038,171.6732352,110845800
1/6/2016,169.4741058,170.5310731,168.4341772,169.0649446,152112600
1/7/2016,165.4080963,168.2977296,165.0159869,166.4991664,213436100
1/8/2016,163.5925293,166.9424665,163.3027166,166.3798796,209817200
1/11/2016,163.7544861,164.8626082,161.8024967,164.5216405,187941300
1/12/2016,165.0756989,165.8343339,162.9276484,165.2120859,172330500
1/13/2016,160.9586029,166.098571,160.5750257,165.749084,221168900
1/14/2016,163.6010132,164.734706,159.9612771,161.5723114,240795600
1/15/2016,160.0891876,160.8989647,158.137198,159.2026976,324846400
1/19/2016,160.3022461,162.0496677,158.7167825,161.9218129,195244400
1/20/2016,158.2479553,159.8248995,154.3013546,157.7194718,286547800
1/21/2016,159.1344452,160.9926696,157.3870238,158.7252971,195772900
1/22/2016,162.3990936,162.6036611,161.0011595,161.7683136,168319600
1/25/2016,159.9442291,162.083747,159.7481809,161.8876988,130371700
1/26/2016,162.1263733,162.4076667,160.2681487,160.6091033,141036800
1/27/2016,160.361908,163.2856317,159.4498343,161.5978845,185681700
1/28/2016,161.1972504,162.1263626,159.5350741,161.9217951,143798800
1/29/2016,165.1267853,165.2631723,161.8535752,161.9729106,210529300
2/1/2016,165.0671692,165.8599075,163.5243281,164.1124858,136061600
2/2/2016,162.0922546,163.6350953,161.5637582,163.626576,182564900
2/3/2016,163.0640564,163.4732046,159.4839805,163.1578209,205054900
2/4/2016,163.3197632,164.3000175,161.9218284,162.5611281,139531800
2/5/2016,160.2084656,163.3793924,159.569166,162.7997671,180788300
2/8/2016,158.0518799,158.6485568,155.8185978,158.3502248,191526700
2/9/2016,158.0604095,159.3475409,156.1595626,156.2959496,184513100
2/10/2016,157.9240417,160.5409012,157.796174,158.8957766,148214100
2/11/2016,155.869751,156.9267309,154.3610004,155.4264997,219058900
2/12/2016,159.0833435,159.1003821,156.8074381,157.6598377,127632400
2/16/2016,161.7683411,161.793912,159.9356877,160.9074224,120250700
2/17/2016,164.4107971,164.7858549,162.8168014,162.9446691,136009500
2/18/2016,163.7373962,164.7432343,163.4220126,164.6835601,102343000
2/19/2016,163.6606903,163.814116,162.3394686,162.9531972,114793000
2/22/2016,166.0303497,166.1752561,165.1864697,165.2546632,103640300
2/23/2016,163.9334869,165.638286,163.8141385,165.3655119,111455300
2/24/2016,164.6835938,164.9648872,161.3762923,162.4929336,150812200
2/25/2016,166.6782379,166.6867702,164.3682419,165.1353965,110728300
